Country Name,Happiness score_2020,upperwhisker_2020,lowerwhisker_2020,Logged GDP per capita_2020,Social support_2020,Healthy life expectancy_2020,Freedom to make life choices_2020,Generosity_2020,Perceptions of corruption_2020,Happiness score_2021,upperwhisker_2021,lowerwhisker_2021,Logged GDP per capita_2021,Social support_2021,Healthy life expectancy_2021,Freedom to make life choices_2021,Generosity_2021,Perceptions of corruption_2021,Happiness score_2022,upperwhisker_2022,lowerwhisker_2022,Logged GDP per capita_2022,Social support_2022,Healthy life expectancy_2022,Freedom to make life choices_2022,Generosity_2022,Perceptions of corruption_2022,Happiness score_2023,upperwhisker_2023,lowerwhisker_2023,Logged GDP per capita_2023,Social support_2023,Healthy life expectancy_2023,Freedom to make life choices_2023,Generosity_2023,Perceptions of corruption_2023,Internet Users_2020,Internet Users_2021,Internet Users_2022,Internet Users_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Education Expenditure_2020,Education Expenditure_2021,Education Expenditure_2022,Education Expenditure_2023,Healthcare Expenditure_2020,Healthcare Expenditure_2021,Healthcare Expenditure_2022,Healthcare Expenditure_2023,Unemployment Rate_2020,Unemployment Rate_2021,Unemployment Rate_2022,Unemployment Rate_2023,Life Expectancy_2020,Life Expectancy_2021,Life Expectancy_2022,Life Expectancy_2023,Population in Urban Areas_2020,Population in Urban Areas_2021,Population in Urban Areas_2022,Population in Urban Areas_2023
Finland,7.808700085,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,7.842,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,7.821,7.886,7.756,1.892,1.258,0.775,0.736,0.109,0.534,7.804,7.875,7.733,10.792,0.969,71.15,0.961,-0.019,0.182,92.2,92.8,93.0,93.5,48828.68469,53099.13514,50440.56022,52821.51143,6.634940147,6.538259983,0.0,0.0,9.63249588,9.83458328,9.6589222,0.0,7.759,7.617,6.719,7.151,81.93170732,81.88536585,81.18780488,81.68536585,23.59780908,23.76381448,23.89734825,23.95786752
Denmark,7.645599842,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,7.62,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,7.636,7.71,7.563,1.953,1.243,0.777,0.719,0.188,0.532,7.586,7.667,7.506,10.962,0.954,71.25,0.934,0.134,0.196,96.5,98.9,97.9,98.8,60985.48856,69727.98737,68091.31911,68453.87693,7.383540154,6.999929905,5.296434402,0.0,10.71854591,10.74728584,9.4758625,9.41784573,5.637,5.043,4.434,5.094,81.60243902,81.40487805,81.30487805,81.85365854,23.09023693,23.19736959,23.21061176,23.22206401
Switzerland,7.559899807,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,7.571,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,7.512,7.586,7.437,2.026,1.226,0.822,0.677,0.147,0.461,7.24,7.324,7.156,11.164,0.92,72.9,0.891,0.027,0.266,94.3,95.6,96.5,97.3,85897.78433,93664.77367,94394.51068,100631.8028,5.276760101,5.037089825,4.888244629,0.0,12.00404072,12.00465584,11.70653343,0.0,4.817,5.013,4.122,4.043,83.0,83.75121951,83.60487805,84.05609756,16.15338069,16.17053893,16.17416847,16.10624461
Iceland,7.504499912,7.621346951,7.387652874,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,7.554,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,7.557,7.651,7.464,1.936,1.32,0.803,0.718,0.27,0.191,7.53,7.625,7.434,10.896,0.983,72.05,0.936,0.211,0.668,99.5,99.7,99.8,99.8,59023.56635,69178.4047,75121.01523,79960.09615,8.58382988,8.217809677,7.139665127,0.0,9.67780685,9.78697014,9.28593922,8.99166012,5.478,6.029,3.789,3.518,83.06341463,83.16585366,82.1195122,82.60731707,0.0,0.0,0.0,0.0
Norway,7.487999916,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,7.392,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,7.365,7.44,7.29,1.997,1.239,0.786,0.728,0.217,0.474,7.315,7.402,7.229,11.088,0.943,71.5,0.947,0.141,0.283,94.6,99.0,99.0,99.0,68340.0181,93072.89251,109269.5206,87497.32893,8.372819901,6.96021986,3.968019724,0.0,11.42416382,9.8142643,7.94803333,0.0,4.424,4.359,3.231,3.572,83.2097561,83.16341463,82.5097561,83.11219512,19.35835746,19.52880007,19.62684761,19.67521524
Netherlands,7.448900223,7.503372192,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,7.464,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,7.415,7.471,7.359,1.945,1.206,0.787,0.651,0.271,0.419,7.403,7.46,7.346,10.942,0.93,71.55,0.887,0.213,0.379,91.3,92.1,92.5,97.0,53467.92774,60141.98809,59123.31856,64572.00596,5.423810005,5.506090164,5.052011013,0.0,11.22355747,11.12490749,10.10068321,0.0,3.82,4.209,3.526,3.537,81.35853659,81.3097561,81.61463415,81.91463415,12.37851102,12.37392663,12.31893801,12.26169186
Sweden,7.353499889,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,7.363,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,7.384,7.454,7.315,1.92,1.204,0.803,0.724,0.218,0.512,7.395,7.468,7.322,10.883,0.939,72.15,0.948,0.165,0.202,94.5,94.7,95.0,95.7,52653.75659,61174.96802,55296.93715,55567.08901,7.925610065,7.572199821,0.0,0.0,11.33296967,11.10180569,10.49857044,10.88682365,8.291,8.722,7.392,7.611,82.35609756,83.05609756,83.05853659,83.3097561,15.77058142,15.90438805,16.01086532,16.13481424
New Zealand,7.299600124,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,7.277,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,7.2,7.279,7.12,1.852,1.235,0.752,0.68,0.245,0.483,7.123,7.198,7.048,10.662,0.952,70.35,0.887,0.175,0.271,95.2,96.1,96.2,96.2,41850.92033,49689.49813,48760.03819,48654.90423,5.651490211,5.548220158,5.230120182,0.0,10.05994129,10.0194025,10.02858067,0.0,4.595,3.776,3.297,3.729,82.25609756,82.20731707,81.95853659,83.00487805,31.56190327,31.89192573,32.29057474,31.90123928
Austria,7.294199944,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,7.268,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,7.163,7.237,7.089,1.931,1.165,0.774,0.623,0.193,0.329,7.097,7.176,7.018,10.899,0.888,71.15,0.855,0.102,0.497,87.5,92.5,93.6,95.3,48716.40989,53648.71907,52176.66491,56033.57379,5.571269989,5.494110107,4.774471283,0.0,11.31641102,12.15228558,11.15729332,10.87779903,5.201,6.459,4.992,5.264,81.19268293,81.1902439,81.29512195,81.54146341,21.64375278,21.71677183,21.6772318,21.63077855
Canada,7.23210001,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,7.103,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,7.025,7.107,6.943,1.886,1.188,0.783,0.659,0.217,0.368,6.961,7.042,6.879,10.773,0.929,71.4,0.874,0.153,0.42,92.3,93.9,94.0,94.0,43537.8393,52886.66164,56256.80073,54220.3285,4.887949944,4.748600006,4.139571667,0.0,13.02419472,12.41920948,11.23432541,11.22370815,9.657,7.527,5.279,5.415,81.53512195,81.51682927,81.24536585,81.64658537,45.75532787,45.99396849,45.64991558,44.80212598
