Country Name,Year,Indicator,Value
Finland,2020,Happiness score,7.808700085
Denmark,2020,Happiness score,7.645599842
Switzerland,2020,Happiness score,7.559899807
Iceland,2020,Happiness score,7.504499912
Norway,2020,Happiness score,7.487999916
Netherlands,2020,Happiness score,7.448900223
Sweden,2020,Happiness score,7.353499889
New Zealand,2020,Happiness score,7.299600124
Austria,2020,Happiness score,7.294199944
Canada,2020,Happiness score,7.23210001
Australia,2020,Happiness score,7.222799778
United Kingdom,2020,Happiness score,7.164500237
Israel,2020,Happiness score,7.128600121
Costa Rica,2020,Happiness score,7.121399879
Ireland,2020,Happiness score,7.093699932
Germany,2020,Happiness score,7.075799942
United States,2020,Happiness score,6.939599991
Belgium,2020,Happiness score,6.863500118
United Arab Emirates,2020,Happiness score,6.790800095
Malta,2020,Happiness score,6.772799969
France,2020,Happiness score,6.663799763
Mexico,2020,Happiness score,6.465000153
Uruguay,2020,Happiness score,6.440100193
Saudi Arabia,2020,Happiness score,6.406499863
Spain,2020,Happiness score,6.400899887
Italy,2020,Happiness score,6.38740015
Singapore,2020,Happiness score,6.377099991
Brazil,2020,Happiness score,6.375599861
Slovenia,2020,Happiness score,6.363399982
El Salvador,2020,Happiness score,6.34829998
Kosovo,2020,Happiness score,6.325200081
Panama,2020,Happiness score,6.304800034
Uzbekistan,2020,Happiness score,6.257599831
Chile,2020,Happiness score,6.228499889
Bahrain,2020,Happiness score,6.227300167
Lithuania,2020,Happiness score,6.215499878
Poland,2020,Happiness score,6.186299801
Colombia,2020,Happiness score,6.163400173
Cyprus,2020,Happiness score,6.15899992
Nicaragua,2020,Happiness score,6.13710022
Romania,2020,Happiness score,6.123700142
Mauritius,2020,Happiness score,6.101299763
Kazakhstan,2020,Happiness score,6.057899952
Estonia,2020,Happiness score,6.021800041
Philippines,2020,Happiness score,6.006000042
Hungary,2020,Happiness score,6.000400066
Thailand,2020,Happiness score,5.998799801
Argentina,2020,Happiness score,5.974699974
Honduras,2020,Happiness score,5.953199863
Latvia,2020,Happiness score,5.949999809
Ecuador,2020,Happiness score,5.925199986
Portugal,2020,Happiness score,5.910900116
Jamaica,2020,Happiness score,5.889800072
Japan,2020,Happiness score,5.870800018
Peru,2020,Happiness score,5.796800137
Serbia,2020,Happiness score,5.77820015
Bolivia,2020,Happiness score,5.747499943
Pakistan,2020,Happiness score,5.69329977
Paraguay,2020,Happiness score,5.692100048
Dominican Republic,2020,Happiness score,5.689199924
Bosnia and Herzegovina,2020,Happiness score,5.674099922
Moldova,2020,Happiness score,5.607500076
Tajikistan,2020,Happiness score,5.555699825
Montenegro,2020,Happiness score,5.54610014
Greece,2020,Happiness score,5.514999866
Croatia,2020,Happiness score,5.504700184
Mongolia,2020,Happiness score,5.456200123
Malaysia,2020,Happiness score,5.384300232
Indonesia,2020,Happiness score,5.285600185
Benin,2020,Happiness score,5.21600008
Ghana,2020,Happiness score,5.147999763
Nepal,2020,Happiness score,5.137199879
China,2020,Happiness score,5.123899937
Bulgaria,2020,Happiness score,5.101500034
Morocco,2020,Happiness score,5.094799995
Cameroon,2020,Happiness score,5.084899902
Algeria,2020,Happiness score,5.005099773
Senegal,2020,Happiness score,4.980800152
Guinea,2020,Happiness score,4.949299812
Albania,2020,Happiness score,4.882699966
Cambodia,2020,Happiness score,4.848400116
Bangladesh,2020,Happiness score,4.832799911
Gabon,2020,Happiness score,4.829299927
South Africa,2020,Happiness score,4.814099789
Iraq,2020,Happiness score,4.784800053
Lebanon,2020,Happiness score,4.771500111
Burkina Faso,2020,Happiness score,4.768700123
Mali,2020,Happiness score,4.729300022
Nigeria,2020,Happiness score,4.724100113
Armenia,2020,Happiness score,4.676799774
Georgia,2020,Happiness score,4.672599792
Jordan,2020,Happiness score,4.633399963
Mozambique,2020,Happiness score,4.623600006
Kenya,2020,Happiness score,4.583000183
Namibia,2020,Happiness score,4.571100235
Ukraine,2020,Happiness score,4.56069994
Uganda,2020,Happiness score,4.43200016
Tunisia,2020,Happiness score,4.392199993
Sri Lanka,2020,Happiness score,4.327000141
Myanmar,2020,Happiness score,4.308000088
Togo,2020,Happiness score,4.187200069
Ethiopia,2020,Happiness score,4.186200142
Sierra Leone,2020,Happiness score,3.926399946
Zambia,2020,Happiness score,3.759399891
India,2020,Happiness score,3.573299885
Malawi,2020,Happiness score,3.538000107
Tanzania,2020,Happiness score,3.476200104
Zimbabwe,2020,Happiness score,3.299200058
Afghanistan,2020,Happiness score,2.566900015
Finland,2020,upperwhisker,7.869766235
Denmark,2020,upperwhisker,7.711244583
Switzerland,2020,upperwhisker,7.628527641
Iceland,2020,upperwhisker,7.621346951
Norway,2020,upperwhisker,7.55628109
Netherlands,2020,upperwhisker,7.503372192
Sweden,2020,upperwhisker,7.424519062
New Zealand,2020,upperwhisker,7.376952648
Austria,2020,upperwhisker,7.359595776
Canada,2020,upperwhisker,7.311294556
Australia,2020,upperwhisker,7.30480814
United Kingdom,2020,upperwhisker,7.237337589
Israel,2020,upperwhisker,7.211929798
Costa Rica,2020,upperwhisker,7.209239483
Ireland,2020,upperwhisker,7.171832085
Germany,2020,upperwhisker,7.145595074
United States,2020,upperwhisker,7.032339573
Belgium,2020,upperwhisker,6.930866241
United Arab Emirates,2020,upperwhisker,6.870568752
Malta,2020,upperwhisker,6.856997967
France,2020,upperwhisker,6.737450123
Mexico,2020,upperwhisker,6.559319973
Uruguay,2020,upperwhisker,6.529121399
Saudi Arabia,2020,upperwhisker,6.517305851
Spain,2020,upperwhisker,6.483808517
Italy,2020,upperwhisker,6.47224474
Singapore,2020,upperwhisker,6.442287445
Brazil,2020,upperwhisker,6.455549717
Slovenia,2020,upperwhisker,6.449328899
El Salvador,2020,upperwhisker,6.462466717
Kosovo,2020,upperwhisker,6.427544117
Panama,2020,upperwhisker,6.421860695
Uzbekistan,2020,upperwhisker,6.36388588
Chile,2020,upperwhisker,6.318118572
Bahrain,2020,upperwhisker,6.387789249
Lithuania,2020,upperwhisker,6.302118301
Poland,2020,upperwhisker,6.255880356
Colombia,2020,upperwhisker,6.274102688
Cyprus,2020,upperwhisker,6.258187771
Nicaragua,2020,upperwhisker,6.262318611
Romania,2020,upperwhisker,6.216668129
Mauritius,2020,upperwhisker,6.213463783
Kazakhstan,2020,upperwhisker,6.1426301
Estonia,2020,upperwhisker,6.092330933
Philippines,2020,upperwhisker,6.103722572
Hungary,2020,upperwhisker,6.077767372
Thailand,2020,upperwhisker,6.082288742
Argentina,2020,upperwhisker,6.079445839
Honduras,2020,upperwhisker,6.082033634
Latvia,2020,upperwhisker,6.018282413
Ecuador,2020,upperwhisker,6.028846264
Portugal,2020,upperwhisker,6.015089989
Jamaica,2020,upperwhisker,6.126157284
Japan,2020,upperwhisker,5.951927662
Peru,2020,upperwhisker,5.916970253
Serbia,2020,upperwhisker,5.877596378
Bolivia,2020,upperwhisker,5.846765041
Pakistan,2020,upperwhisker,5.78780365
Paraguay,2020,upperwhisker,5.793937683
Dominican Republic,2020,upperwhisker,5.826069355
Bosnia and Herzegovina,2020,upperwhisker,5.765016556
Moldova,2020,upperwhisker,5.690360069
Tajikistan,2020,upperwhisker,5.619050026
Montenegro,2020,upperwhisker,5.642112255
Greece,2020,upperwhisker,5.606986046
Croatia,2020,upperwhisker,5.578756332
Mongolia,2020,upperwhisker,5.535213947
Malaysia,2020,upperwhisker,5.479953289
Indonesia,2020,upperwhisker,5.379077435
Benin,2020,upperwhisker,5.368408203
Ghana,2020,upperwhisker,5.262923717
Nepal,2020,upperwhisker,5.250276566
China,2020,upperwhisker,5.174667358
Bulgaria,2020,upperwhisker,5.188173294
Morocco,2020,upperwhisker,5.203875065
Cameroon,2020,upperwhisker,5.216800213
Algeria,2020,upperwhisker,5.09180212
Senegal,2020,upperwhisker,5.084227562
Guinea,2020,upperwhisker,5.09246254
Albania,2020,upperwhisker,4.992686749
Cambodia,2020,upperwhisker,4.962093353
Bangladesh,2020,upperwhisker,4.911443233
Gabon,2020,upperwhisker,4.947425842
South Africa,2020,upperwhisker,4.931746006
Iraq,2020,upperwhisker,4.937272072
Lebanon,2020,upperwhisker,4.857257843
Burkina Faso,2020,upperwhisker,4.890351772
Mali,2020,upperwhisker,4.855451107
Nigeria,2020,upperwhisker,4.826248169
Armenia,2020,upperwhisker,4.791646481
Georgia,2020,upperwhisker,4.757698059
Jordan,2020,upperwhisker,4.748552322
Mozambique,2020,upperwhisker,4.778996944
Kenya,2020,upperwhisker,4.715898037
Namibia,2020,upperwhisker,4.690628052
Ukraine,2020,upperwhisker,4.658080578
Uganda,2020,upperwhisker,4.566251278
Tunisia,2020,upperwhisker,4.489554405
Sri Lanka,2020,upperwhisker,4.431047916
Myanmar,2020,upperwhisker,4.392180443
Togo,2020,upperwhisker,4.309713364
Ethiopia,2020,upperwhisker,4.262473583
Sierra Leone,2020,upperwhisker,4.046255589
Zambia,2020,upperwhisker,3.878326178
India,2020,upperwhisker,3.627596378
Malawi,2020,upperwhisker,3.675710678
Tanzania,2020,upperwhisker,3.600091219
Zimbabwe,2020,upperwhisker,3.414201975
Afghanistan,2020,upperwhisker,2.628270388
Finland,2020,lowerwhisker,7.747633934
Denmark,2020,lowerwhisker,7.579955101
