Country Name,Happiness score_2020,upperwhisker_2020,lowerwhisker_2020,Logged GDP per capita_2020,Social support_2020,Healthy life expectancy_2020,Freedom to make life choices_2020,Generosity_2020,Perceptions of corruption_2020,Happiness score_2021,upperwhisker_2021,lowerwhisker_2021,Logged GDP per capita_2021,Social support_2021,Healthy life expectancy_2021,Freedom to make life choices_2021,Generosity_2021,Perceptions of corruption_2021,Happiness score_2022,upperwhisker_2022,lowerwhisker_2022,Logged GDP per capita_2022,Social support_2022,Healthy life expectancy_2022,Freedom to make life choices_2022,Generosity_2022,Perceptions of corruption_2022,Happiness score_2023,upperwhisker_2023,lowerwhisker_2023,Logged GDP per capita_2023,Social support_2023,Healthy life expectancy_2023,Freedom to make life choices_2023,Generosity_2023,Perceptions of corruption_2023
Finland,7.808700085,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,7.842,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186,7.821,7.886,7.756,1.892,1.258,0.775,0.736,0.109,0.534,7.804,7.875,7.733,10.792,0.969,71.15,0.961,-0.019,0.182
Denmark,7.645599842,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,7.62,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,7.636,7.71,7.563,1.953,1.243,0.777,0.719,0.188,0.532,7.586,7.667,7.506,10.962,0.954,71.25,0.934,0.134,0.196
Switzerland,7.559899807,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,7.571,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,7.512,7.586,7.437,2.026,1.226,0.822,0.677,0.147,0.461,7.24,7.324,7.156,11.164,0.92,72.9,0.891,0.027,0.266
Iceland,7.504499912,7.621346951,7.387652874,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,7.554,7.67,7.438,10.878,0.983,73,0.955,0.16,0.673,7.557,7.651,7.464,1.936,1.32,0.803,0.718,0.27,0.191,7.53,7.625,7.434,10.896,0.983,72.05,0.936,0.211,0.668
Norway,7.487999916,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,7.392,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,7.365,7.44,7.29,1.997,1.239,0.786,0.728,0.217,0.474,7.315,7.402,7.229,11.088,0.943,71.5,0.947,0.141,0.283
Netherlands,7.448900223,7.503372192,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,7.464,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,7.415,7.471,7.359,1.945,1.206,0.787,0.651,0.271,0.419,7.403,7.46,7.346,10.942,0.93,71.55,0.887,0.213,0.379
Sweden,7.353499889,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,7.363,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,7.384,7.454,7.315,1.92,1.204,0.803,0.724,0.218,0.512,7.395,7.468,7.322,10.883,0.939,72.15,0.948,0.165,0.202
New Zealand,7.299600124,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,7.277,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,7.2,7.279,7.12,1.852,1.235,0.752,0.68,0.245,0.483,7.123,7.198,7.048,10.662,0.952,70.35,0.887,0.175,0.271
Austria,7.294199944,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,7.268,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,7.163,7.237,7.089,1.931,1.165,0.774,0.623,0.193,0.329,7.097,7.176,7.018,10.899,0.888,71.15,0.855,0.102,0.497
Canada,7.23210001,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,7.103,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,7.025,7.107,6.943,1.886,1.188,0.783,0.659,0.217,0.368,6.961,7.042,6.879,10.773,0.929,71.4,0.874,0.153,0.42
Australia,7.222799778,7.30480814,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,7.183,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,7.162,7.244,7.081,1.9,1.203,0.772,0.676,0.258,0.341,7.095,7.18,7.009,10.821,0.934,71.05,0.89,0.198,0.496
United Kingdom,7.164500237,7.237337589,7.091662884,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,7.064,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459,6.943,7.018,6.867,1.867,1.143,0.75,0.597,0.289,0.329,6.796,6.877,6.714,10.704,0.882,70.3,0.852,0.253,0.454
Israel,7.128600121,7.211929798,7.045270443,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,7.157,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,7.364,7.426,7.301,1.826,1.221,0.818,0.568,0.155,0.143,7.473,7.535,7.411,10.639,0.943,72.697,0.809,-0.023,0.708
Costa Rica,7.121399879,7.209239483,7.033560276,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,7.069,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,6.582,6.683,6.481,1.584,1.054,0.744,0.661,0.089,0.102,6.609,6.71,6.507,9.952,0.872,70,0.895,-0.07,0.768
Ireland,7.093699932,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,7.085,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363,7.041,7.121,6.961,2.129,1.166,0.779,0.627,0.19,0.408,6.911,6.996,6.825,11.527,0.905,71.3,0.874,0.092,0.358
Germany,7.075799942,7.145595074,7.00600481,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,7.155,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,7.034,7.122,6.947,1.924,1.088,0.776,0.585,0.163,0.358,6.892,6.989,6.795,10.879,0.896,71.3,0.846,0.03,0.42
United States,6.939599991,7.032339573,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,6.951,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698,6.977,7.065,6.888,1.982,1.182,0.628,0.574,0.22,0.177,6.894,6.986,6.802,11.048,0.919,65.85,0.8,0.137,0.689
Belgium,6.863500118,6.930866241,6.796133995,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,6.834,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,6.805,6.89,6.72,1.907,1.106,0.764,0.492,0.049,0.204,6.859,6.926,6.793,10.844,0.915,70.899,0.825,0.001,0.549
United Arab Emirates,6.790800095,6.870568752,6.711031437,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,6.561,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589,6.576,6.66,6.492,1.998,0.98,0.633,0.702,0.204,0.25,6.571,6.656,6.486,11.145,0.826,66.243,0.942,0.096,0.584
Malta,6.772799969,6.856997967,6.688601971,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,6.602,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,6.447,6.535,6.359,1.838,1.169,0.789,0.679,0.174,0.166,6.3,6.388,6.212,10.661,0.923,71.6,0.886,0.119,0.729
France,6.663799763,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,6.69,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,6.687,6.758,6.615,1.863,1.219,0.808,0.567,0.07,0.266,6.661,6.735,6.588,10.701,0.909,72.3,0.819,-0.1,0.553
Mexico,6.465000153,6.559319973,6.370680332,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,6.317,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,6.128,6.238,6.017,1.552,0.886,0.623,0.621,0.092,0.115,6.33,6.441,6.218,9.85,0.804,65.8,0.856,-0.094,0.768
Uruguay,6.440100193,6.529121399,6.351078987,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,6.431,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,6.474,6.562,6.386,1.615,1.18,0.672,0.665,0.103,0.265,6.494,6.583,6.404,10.037,0.913,67.5,0.895,-0.065,0.575
Saudi Arabia,6.406499863,6.517305851,6.295693874,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,6.494,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684,6.523,6.637,6.409,1.87,1.092,0.577,0.651,0.078,0.18,6.463,6.581,6.344,10.715,0.884,64.399,0.894,-0.081,0.691
Spain,6.400899887,6.483808517,6.317991257,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,6.491,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,6.476,6.56,6.392,1.808,1.211,0.808,0.505,0.101,0.149,6.436,6.519,6.354,10.54,0.932,72.35,0.782,-0.066,0.711
Italy,6.38740015,6.47224474,6.302555561,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,6.483,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,6.467,6.57,6.363,1.834,1.052,0.801,0.412,0.085,0.059,6.405,6.511,6.298,10.634,0.882,72.05,0.711,-0.074,0.842
