Country Name,Internet Users_2020,Internet Users_2021,Internet Users_2022,Internet Users_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Education Expenditure_2020,Education Expenditure_2021,Education Expenditure_2022,Education Expenditure_2023,Healthcare Expenditure_2020,Healthcare Expenditure_2021,Healthcare Expenditure_2022,Healthcare Expenditure_2023,Unemployment Rate_2020,Unemployment Rate_2021,Unemployment Rate_2022,Unemployment Rate_2023,Life Expectancy_2020,Life Expectancy_2021,Life Expectancy_2022,Life Expectancy_2023,Population in Urban Areas_2020,Population in Urban Areas_2021,Population in Urban Areas_2022,Population in Urban Areas_2023
Afghanistan,17,16.5,17.2,17.7,510.7870634,356.4962141,357.2611528,413.7578947,0,0,0,0,15.53361416,21.508461,23.0881691,0,11.71,11.994,14.1,13.991,61.454,60.417,65.617,66.035,10.80532972,10.83931336,10.98572995,11.06909288
Africa Eastern and Southern,0,0,0,0,1344.10321,1522.393346,1628.318944,1568.159891,4.35243988,4.771326065,4.628623962,0,6.035806396,6.044467856,5.727920445,0,8.191394911,8.577384992,7.985202252,7.806365422,63.766484,62.97999919,64.48701955,65.14629086,14.37993946,14.50822144,14.64972274,14.81285508
Africa Western and Central,0,0,0,0,1680.039332,1765.954788,1796.668633,1599.392983,3.398740768,3.203484297,2.905294418,0,3.892964205,4.152318805,4.209822096,0,4.852392701,4.736731762,3.658573181,3.277245466,57.3644254,57.36257169,57.98781339,58.85572155,17.00202472,17.19192523,17.39413202,17.59840716
Albania,72.2,79.3,82.6,83.1,5370.7775,6413.282808,6846.426694,8575.171346,3.342299938,3.022559881,2.744329929,0,7.50389433,7.39913177,6.19368076,0,11.69,11.474,10.137,10.108,77.824,76.844,78.769,79.602,0,0,0,0
Algeria,63.5,72.2,74.8,76.9,3743.541952,4160.559267,4961.552577,5364.02795,6.193917274,5.514032841,4.749246597,5.610157013,5.63831711,5.0110569,3.6230433,0,14.057,13.63,12.346,11.701,73.257,75.208,76.129,76.261,6.284127155,6.275891483,6.275555969,6.285842288
American Samoa,0,0,0,0,14489.25866,15236.16049,18017.45894,0,0,0,0,0,0,0,0,0,0,0,0,0,72.672,72.708,72.752,72.852,0,0,0,0
Andorra,93.2,93.9,94.5,95.4,37361.09007,42425.69968,42414.05901,46812.44845,2.632130384,2.583972216,2.647289991,1.92790997,8.78673935,8.33450699,7.53678846,7.92821121,0,0,0,0,79.418,82.331,84.016,84.041,0,0,0,0
Angola,36.6,39.4,42.1,44.8,1449.922867,1925.874661,2929.694455,2309.53413,2.667447329,2.297108889,2.332125902,0,3.27488494,3.09277129,2.92737579,0,16.69,15.799,14.602,14.537,63.116,62.958,64.246,64.617,24.90139347,24.99643451,25.12274089,25.2853327
Antigua and Barbuda,75,76.1,77.2,77.6,15369.60823,17348.6007,20105.19891,21494.5474,2.993403196,2.574648857,3.64774847,0,5.72944784,4.99196768,5.7299943,0,0,0,0,0,77.161,77.197,77.483,77.598,0,0,0,0
Arab World,0,0,0,0,5722.480995,6681.708952,7931.617893,7479.688091,0,0,0,0,5.712238203,5.279890283,4.450977188,0,11.32561254,10.88965878,9.953570646,9.581397143,70.72655881,70.40411449,71.8760956,72.44467836,22.72537354,22.8562208,22.82479276,22.79881856
