Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,17,16.5,17.2,17.7
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.6,39.4,42.1,44.8
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.2,79.3,82.6,83.1
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.2,93.9,94.5,95.4
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,100,100,100,100
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.5,87.2,88.4,89.2
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.5,78.6,77,80
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,75,76.1,77.2,77.6
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.7,97,97,97.1
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.5,92.5,93.6,95.3
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.6,86,88,89
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.17,11,11,11.1
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.5,92.8,94,94.6
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.1,28.2,30,32.2
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.8,12.6,14.6,17
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.1,38.9,41.6,44.5
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.2,75.3,79.1,80.4
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,99.7,100,100,100
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.4,94.3,94.7,94.8
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.2,75.7,78.8,83.4
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.1,86.9,89.5,91.5
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.4,70.7,71.8,72.4
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.9,66,67.4,70.2
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.3,80.7,80.5,84.2
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,76,77.9,79.4,80
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.3,97.6,99,99
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.9,85.6,86.3,88.4
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.5,78.7,80.4,81.4
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.3,93.9,94,94
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.3,95.6,96.5,97.3
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.5,90.2,93.5,94.5
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.1,73.1,75.6,77.5
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,36,36,38.4,40.7
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.2,42,41.8,41.9
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.6,28.4,29.5,30.5
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.8,33.3,37.5,38.4
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.8,73,72.8,77.3
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.4,30.7,32.8,35.7
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.4,70.3,72.8,73.5
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.5,82.7,82.6,85.4
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.1,67.6,68.3,71.3
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.8,90.8,89.6,91.2
Czechia,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.3,82.7,84.5,86
