Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,
Africa Eastern and Southern,AFE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.035806396,6.044467856,5.727920445,
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,15.53361416,21.508461,23.0881691,
Africa Western and Central,AFW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.892964205,4.152318805,4.209822096,
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.27488494,3.09277129,2.92737579,
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.50389433,7.39913177,6.19368076,
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.78673935,8.33450699,7.53678846,7.92821121
Arab World,ARB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.712238203,5.279890283,4.450977188,
United Arab Emirates,ARE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.82477045,5.30494308,4.67550945,
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.45030594,10.03832245,9.86305332,
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.24056244,12.32268524,9.96212864,
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.72944784,4.99196768,5.7299943,
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.66040134,10.42525291,9.92687893,
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.31641102,12.15228558,11.15729332,10.87779903
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.84817696,4.68526697,3.97840643,
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.71837234,8.99484253,8.39522648,
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.26481915,11.04724503,10.76192474,
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.7123611,2.58129549,2.67981386,
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.57714844,6.40747881,6.77182007,
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.27063942,2.36551309,2.39038587,
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.48235893,8.61892796,7.66357517,
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.7196188,4.49223804,3.83745313,
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.59303093,7.0057478,7.21692038,
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.70311832,9.55514336,8.71644783,
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.40607214,6.56549978,6.65919876,
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.35447645,5.05842113,4.23173904,
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.0225811,8.159729,8.43142891,
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.62326527,9.63646507,9.14277458,
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.27405739,7.93866014,6.29389191,
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.45178461,2.14642429,1.81768215,
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.08451509,3.0729053,4.38545895,
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.1213398,6.30754805,5.72838593,
Central African Republic,CAF,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.98555374,9.15270615,9.95509052,
Canada,CAN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,13.02419472,12.41920948,11.23432541,11.22370815
Central Europe and the Baltics,CEB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.254796461,7.438134351,7.027525817,
Switzerland,CHE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.00404072,12.00465584,11.70653343,
Channel Islands,CHI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.68910599,9.68593311,10.06172848,10.09532642
China,CHN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.59359741,5.38360548,5.36948681,
Cote d'Ivoire,CIV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.62327886,3.76207662,3.6424129,
Cameroon,CMR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.25051928,4.30539274,4.47835922,
"Congo, Dem. Rep.",COD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.97694445,3.67749357,3.78614616,
"Congo, Rep.",COG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.01775074,3.49339676,2.19224548,
Colombia,COL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.71432114,9.01772404,7.57361269,7.69168758
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.902421,6.43369246,8.3803854,
Cabo Verde,CPV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.63319778,7.316607,6.67440224,
Costa Rica,CRI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.82545757,7.61130476,7.18368196,
Caribbean small states,CSS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.951111176,6.544941433,5.692697744,
Cuba,CUB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.48641968,13.78727913,11.78683186,
Curacao,CUW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,
Cayman Islands,CYM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,
Cyprus,CYP,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.76033878,9.47552109,8.87060547,
Czechia,CZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.15721989,9.45247459,8.79904652,8.53962803
Germany,DEU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.6902256,12.90171242,12.60513115,11.79903221
Djibouti,DJI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.32228446,2.88669515,2.49675012,
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.12651205,6.31661367,6.31969738,
