Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.406,73.655,76.226,76.353
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.766484,62.97999919,64.48701955,65.14629086
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.454,60.417,65.617,66.035
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.3644254,57.36257169,57.98781339,58.85572155
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.116,62.958,64.246,64.617
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.824,76.844,78.769,79.602
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.418,82.331,84.016,84.041
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.72655881,70.40411449,71.8760956,72.44467836
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.936,79.083,80.487,82.909
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.878,73.948,75.806,77.395
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.37560976,72.27804878,74.76585366,77.46585366
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.672,72.708,72.752,72.852
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.161,77.197,77.483,77.598
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.2,83.3,83.2,83.05121951
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.19268293,81.1902439,81.29512195,81.54146341
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.312,70.999,74.125,74.429
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.569,62.101,62.882,63.651
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.69512195,81.7902439,81.74878049,82.39756098
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.154,59.61,60.475,60.774
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.454,60.046,60.7,61.092
