Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Africa Eastern and Southern,AFE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,14.37993946,14.50822144,14.64972274,14.81285508
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,10.80532972,10.83931336,10.98572995,11.06909288
Africa Western and Central,AFW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,17.00202472,17.19192523,17.39413202,17.59840716
Angola,AGO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,24.90139347,24.99643451,25.12274089,25.2853327
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Andorra,AND,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Arab World,ARB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,22.72537354,22.8562208,22.82479276,22.79881856
United Arab Emirates,ARE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,64.31001555,64.43702408,62.43087205,61.09874223
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,42.99529795,43.22729196,43.49783685,43.74898671
Armenia,ARM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,36.67989195,36.76808561,36.7785262,36.93327261
American Samoa,ASM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Antigua and Barbuda,ATG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Australia,AUS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,61.12562832,61.9236242,61.99539724,61.3278909
Austria,AUT,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.64375278,21.71677183,21.6772318,21.63077855
Azerbaijan,AZE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,23.19840414,23.38562304,23.67546606,23.95424523
Burundi,BDI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Belgium,BEL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,27.06791047,27.12970911,27.07359714,26.97117937
Benin,BEN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Burkina Faso,BFA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,12.9446023,13.25113344,13.57582674,13.91450607
Bangladesh,BGD,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,15.650026,16.02888267,16.37156529,16.67334103
Bulgaria,BGR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,19.55468549,19.73646217,19.90363022,19.98130486
Bahrain,BHR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
"Bahamas, The",BHS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Bosnia and Herzegovina,BIH,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Belarus,BLR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.62168847,21.9167253,22.1993849,22.41436266
Belize,BLZ,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Bermuda,BMU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Bolivia,BOL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,41.25142737,41.60960212,41.90538599,42.10973575
Brazil,BRA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,43.05981905,43.33583851,43.62212584,43.87326521
Barbados,BRB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Brunei Darussalam,BRN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Bhutan,BTN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Botswana,BWA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Central African Republic,CAF,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Canada,CAN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,45.75532787,45.99396849,45.64991558,44.80212598
Central Europe and the Baltics,CEB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Switzerland,CHE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,16.15338069,16.17053893,16.17416847,16.10624461
Channel Islands,CHI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Chile,CHL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,34.93549304,35.0096529,35.06841086,35.11597712
China,CHN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,29.03499809,29.76998435,30.52300983,31.2803562
Cote d'Ivoire,CIV,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,17.9930182,18.06637549,18.14702957,18.2455661
Cameroon,CMR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,29.20822212,29.564577,29.90404039,30.21387083
